actor_id,display,n_letters
ribhadda,Rib-Addi,68
abdiasirta,ʿAbdi-ʾAširte,52
aziru,ʿAḏiri,38
yanhamu,Yanḥamu,27
zimreddi,Zimri-Haddu,15
labaya,Labʾaya,14
milkiilu,Milki-ʾili,14
yapabalu,Yapaʾ-Baʿlu,12
biryawaza,Biryawaza,11
etakkama,Etakkama,11
puhuru,Puhuru,11
amonappa,Amon-appa,10
piwuru,Piwuru,10
abimilku,ʾAbi-Milki,10
suwardata,Šuwardata,10
maya,Maya,9
haya,Haya,9
biridiya,Biridiya,8
abdiheba,IR₃-Hebat,8
yidya,Yidya,8
hanya,Hanya,7
tagi,Tagi,7
yidyia,yidyia,7
akizzi,Akizzi,6
ammunira,ʿAmmu-nira,6
hatip,Ḥatip,6
yapahu,yapahu,6
subandu,Šubandu,6
arzawya,Arzawya,5
haip,Ḥaʿip,5
yapau,Yapaʾu,5
pahanate,Paḥanaṯe,4
abdiastarti,ʿAbdi-ʿAštarti,4
milkiuru,Milki-ʾuru,4
ummahnu,Ummahnu,4
surata,Surata,4
pubalu,Pu-Baʿlu,4
tutu,Tutu,4
suttarna,Šuttarna,4
zitriyarah,Zitri-Yarah,4
balumeher,Baʿlu-meher,4
haddaya,Haddaya,4
balumehir,balumehir,4
tahmassi,Taḥmaśśi,4
balutipti,Baʿlu-ṯipṭi,4
tiptibalu,Ṯipṭi-Baʿlu,4
tiwate,Tiwate,3
sumhaddu,Šum-Haddu,3
amonmassa,Amon-mašša,3
ilirapi,ʾIli-rapiʾ,3
sutarna,sutarna,3
zitriyara,zitriyara,3
intaruta,Intaruta,3
satatna,Satatna,3
labayu,labayu,3
yahzibadda,Yaʿḏib-Haddu,3
addadanu,addadanu,3
reanap,Reʿ-anap,3
siptibala,siptibala,3
a-king-of-ugarit,a-king-of-ugarit,2
haddu,Haddu,2
manahpirya,Manahpirya,2
pharaoh,Naphuriya,2
tassu,Taššu,2
arzayu,Arzayu,2
aduna,ʾAduna,2
puheya,Puheya,2
yappahhadda,yappahhadda,2
dumupiha,DUMU-piha,2
abdibalu,ʿAbdi-Baʿlu,2
abdimilki,ʿAbdi-Milki,2
irimayassa,Iri-mayaśśa,2
api,Api,2
ilirapih,ilirapih,2
betili,Bet-ʾili,2
baluya,Baʿluya,2
amonhatpe,Amon-ḥatpe,2
mayarzana,Mayarzana,2
arsawuya,arsawuya,2
biridaswa,Biridašwa,2
zisamimi,Zišamimi,2
bayawa,Bayawa,2
wiktasu,wiktasu,2
yiktasu,Yiktasu,2
sumadda,sumadda,2
abditirsi,abditirsi,2
suta,Śuta,2
bayadi,bayadi,2
yasdata,Yašdata,2
baluursag,Baʿlu-UR.SAG,2
murbahlu,Mut-Baʿli,2
ayab,ʾAy-ʾab,2
dasru,Dašru,2
ninurmahmes,Belet-UR.MAH.MEŠ,2
turbazu,Turbazu,2
yaptihhaddu,Yaptiḥ-Haddu,2
gulati,Guʾlati,2
piya,Piʾya,2
yabniili,Yabni-ʾili,2
dagantakala,Dagan-takala,2
hiziru,hiziru,2
hizziri,Hizziri,2
ammistamru,ammistamru,1
ammittamru,ʿAmmiṯtamru,1
the-queen-of-ugarit,the-queen-of-ugarit,1
haramassi,Ḥaramaśśi,1
niqmadda,Niqma-Haddu,1
niqmaddaii,niqmaddaii,1
addunirari,addunirari,1
tagu,Tagu,1
arsawya,Arsawya,1
sumitti,Šumitti,1
tehutessub,Tehu-Teššub,1
tehutessup,tehutessup,1
akitessub,Aki-Teššub,1
the-citizens-of-tunip,the-citizens-of-tunip,1
bisitanu,Bišitanu,1
tabili,Ṯab-ʾili,1
yamaya,Yamaya,1
appiha,Appiha,1
miya,Miya,1
milkayi,Milkayi,1
abdininurta,ʿAbdi-NIN.URTA,1
an-egyptian-general,an-egyptian-general,1
yapahaddi,Yapaʾ-Haddi,1
the-city-of-irqata,the-city-of-irqata,1
binazimi,Bin-ʿazimi,1
abdirama,ʿAbdi-ra-ma,1
yantinbalu,Yantin-Baʿlu,1
ilimilki,ʾIli-Milki,1
yawa,Yawa,1
mayati,Mayati,1
baluma,Baʿluma,1
dasarti,Dašarti,1
leya,Leya,1
manya,Manya,1
nibmahe,Nib-maḥe,1
pisyari,Piśyari,1
sarru,Śarru,1
tuya,Tuya,1
dutessup,dutessup,1
abdiuras,ʿAbdi-URAŠ,1
amurbalu,ʾAmur-Baʿlu,1
anatu,ʿAnatu,1
baaluyaandbetili,baaluyaandbetili,1
binanu,Bin-ʿAnu,1
haddumi,Haddumi,1
lupakku,Lupakku,1
rabiilu,Rabi-ʾilu,1
rabisidqi,Rabi-Ṣidqi,1
zidana,Zidana,1
bieri,bieri,1
biri,Biʾri,1
ildayyi,ildayyi,1
ilidayyani,ʾIli-dayyani,1
yamiuta,Yamiʾuta,1
hibiya,Hibiya,1
sadiya,Śadîya,1
satiya,satiya,1
tiwati,tiwati,1
hastar,Haš-?-tar,1
arassa,Arašša,1
hamassi,Ḥamaśśi,1
artamanya,Artamanya,1
amawase,amawase,1
amayase,Amayaše,1
the-ruler-of-qanu,the-ruler-of-qanu,1
the-ruler-of-tubu,the-ruler-of-tubu,1
the-ruler-of-naziha,the-ruler-of-naziha,1
ipte,ipte,1
nibhuriya,Nibhuriya,1
kurtuyaofnu,kurtuyaofnu,1
nukurtuya,Nukurtuya,1
endaruta,endaruta,1
kusuna,Kusuna,1
sipturisa,sipturisa,1
tipturiza,Ṯipṭu-ri-ZA,1
abdina,abdina,1
yama,yama,1
zirdamyasda,Zirdamyašda,1
baduzana,Baduzana,1
rusmanya,Ruṣmanya,1
binilima,Bin-ʾilima,1
sulummarduk,Šulum-Marduk,1
taduwa,Taduwa,1
yasuya,Yašuya,1
balumer,Baʿlu-Mer,1
sum,sum,1
rahmanu,Raḥmanu,1
miyare,Miya-Reʿ,1
baludanu,baludanu,1
kalbi,Kalbi,1
yahtiru,Yahtiru,1
surasar,Ṣur-ʾAšar,1
yabniilu,yabniilu,1
paapu,paapu,1
payapu,Payapu,1
rapiilu,Rapiʾ-ʾilu,1
the-ruler-of-zuhra,the-ruler-of-zuhra,1
abdirisa,ʿAbdi-ri-ša,1
ayyab,ayyab,1
mairiya,Maʾiriya,1
